dist_central_px	dist_central_um	dist_portal_px	dist_portal_um
2x32_1	963.803429128575	2698.64960156001	369.288572799105	1034.00800383749
2x34_1	971.214137047026	2719.39958373167	241.829071866887	677.121401227283
2x36_1	989.13938855957	2769.5902879668	115.117896089183	322.330109049713
2x38_1	920.278653452311	2576.78022966647	3.60555127546401	10.0955435712992
2x40_1	824.492377163064	2308.57865605658	68.2794258909667	191.182392494707
2x42_1	740.535009300708	2073.49802604198	190.772377455438	534.162656875226
2x44_1	669.398364204753	1874.31541977331	318.098365289733	890.675422811252
2x48_1	581.977774489714	1629.5377685712	545.963670952564	1528.69827866718
3x29_1	934.685423016749	2617.1191844469	513.414491419944	1437.56057597584
3x31_1	912.062070256186	2553.77379671732	437.235885992904	1224.26048078013
3x33_1	907.478291751378	2540.93921690386	312.271436413899	874.360021958918
3x35_1	921.757478949859	2580.92094105961	188.448003438614	527.654409628119
3x37_1	937.123983259419	2623.94715312637	83.8400858778184	234.752240457892
3x39_1	833.052615385127	2332.54732307835	0.509901951359283	1.42772546380599
3x41_1	738.360914458505	2067.41056048381	122.019834453256	341.655536469117
3x43_1	655.42499952321	1835.18999866499	249.728913023703	699.240956466368
3x45_1	586.784270409492	1642.99595714658	376.714454195748	1054.80047174809
3x47_1	538.952502545447	1509.06700712725	461.833952844526	1293.13506796467
3x49_1	519.346522083281	1454.17026183319	545.380976932639	1527.06673541139
4x28_1	898.264020207867	2515.13925658203	514.966649405571	1441.9066183356
4x30_1	864.893085878249	2421.7006404591	429.292266410659	1202.01834594984
4x32_1	849.756653401431	2379.31862952401	367.189283612689	1028.12999411553
4x36_1	877.582144303312	2457.23000404927	160.508006030852	449.422416886385
4x38_1	852.548297752098	2387.13523370587	39.8045223561341	111.452662597175
4x40_1	748.8550527305	2096.7941476454	58.3051455705243	163.254407597468
4x42_1	654.149715279308	1831.61920278206	184.80110930403	517.443106051284
4x44_1	571.810921546624	1601.07058033055	313.441429935483	877.636003819352
4x46_1	506.282776716728	1417.59177480684	378.058262705631	1058.56313557577
4x48_1	468.556613441748	1311.9585176369	460.538489162415	1289.50776965476
5x27_1	869.095829008516	2433.46832122385	529.800302000669	1483.44084560187
5x29_1	823.600491743418	2306.08137688157	428.473301385279	1199.72524387878
5x31_1	799.330275918534	2238.1247725719	346.937876283348	971.426053593376
5x33_1	794.252277302369	2223.90637644663	294.778696652251	825.380350626303
5x37_1	824.159820665871	2307.64749786444	123.38237313328	345.470644773184
5x39_1	765.344628255794	2142.96495911622	42.6380112106557	119.386431389836
5x41_1	662.771280307166	1855.75958486006	133.872215190457	374.84220253328
5x43_1	567.230684995091	1588.24591798625	255.52817848527	715.478899758756
5x45_1	487.860564095931	1366.00957946861	295.300067727727	826.840189637635
5x47_1	428.58358577995	1200.03404018386	374.573210467593	1048.80498930926
5x49_1	404.767019407461	1133.34765434089	474.519061787828	1328.65337300592
5x51_1	415.420473737152	1163.17732646403	584.330531463144	1636.1254880968
